Workout Profile,Workout
21,"Mon: Full Body Strength + Core
Jump Squats – 4 sets of 15 reps

Push-ups (Explosive or Clap Push-ups) – 4 sets of 12–15 reps

Bulgarian Split Squats (Bodyweight) – 4 sets of 15 reps per leg

Pistol Squats (Assisted if needed) – 3 sets of 6–8 reps per leg

Diamond Push-ups – 4 sets of 10–12 reps

Plank to Push-up – 3 sets of 12 reps

Hanging Leg Raises (If possible, or substitute with leg raises) – 4 sets of 12–15 reps

Tue: Rest
Wed: Upper Body Push + Core
Push-ups (Archer Push-ups or Clap Push-ups) – 4 sets of 12–15 reps

Triceps Dips (using a chair) – 4 sets of 12–15 reps

Pike Push-ups (Shoulder Focus) – 3 sets of 12 reps

Handstand Push-ups (Against the wall) – 3 sets of 6–8 reps

Lying Leg Raises – 4 sets of 20 reps

Russian Twists (Weighted if possible) – 4 sets of 30 reps

Side Plank with Reach – 3 sets of 45 seconds per side

Thu: Rest
Fri: Lower Body + Core
Jumping Lunges – 4 sets of 12 reps per leg

Sumo Squats (Bodyweight or with a jump) – 4 sets of 15 reps

Single-leg Glute Bridges – 4 sets of 15 reps per leg

Glute Kickbacks (Bodyweight) – 4 sets of 20 reps per leg

Calf Raises (Slow Tempo) – 4 sets of 20 reps

Mountain Climbers – 3 sets of 30 reps

Ab Rollouts (If available) or Leg Raises – 4 sets of 12–15 reps

Sat: Rest or Active Recovery
Light walking, cycling, or yoga – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Sun: Rest"
22,"Mon: Full Body Strength + Core
Jump Squats – 4 sets of 15 reps

Push-ups (Explosive or Clap Push-ups) – 4 sets of 15 reps

Bulgarian Split Squats (Bodyweight) – 4 sets of 15 reps per leg

Pistol Squats (Assisted if needed) – 4 sets of 8 reps per leg

Diamond Push-ups – 4 sets of 12 reps

Plank to Push-up – 4 sets of 12 reps

Leg Raises – 4 sets of 15 reps

Tue: Upper Body Push + Core
Push-ups (Archer Push-ups or Clap Push-ups) – 4 sets of 15 reps

Triceps Dips (using a chair) – 4 sets of 15 reps

Pike Push-ups (Shoulder Focus) – 4 sets of 12 reps

Handstand Push-ups (Against the wall) – 4 sets of 8 reps

Lying Leg Raises – 4 sets of 20 reps

Russian Twists (Weighted if possible) – 4 sets of 30 reps

Side Plank with Reach – 4 sets of 45 seconds per side

Wed: Lower Body + Core
Jumping Lunges – 4 sets of 15 reps per leg

Sumo Squats (Bodyweight or with a jump) – 4 sets of 20 reps

Single-leg Glute Bridges – 4 sets of 20 reps per leg

Glute Kickbacks (Bodyweight) – 4 sets of 20 reps per leg

Calf Raises (Slow Tempo) – 4 sets of 25 reps

Mountain Climbers – 4 sets of 40 reps

V-ups – 4 sets of 15 reps

Thu: Active Recovery or Rest
Light walking, cycling, or yoga – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Fri: Upper Body Pull + Core
Towel Rows (using a towel over a door) – 4 sets of 12 reps

Inverted Rows (using a low bar or under a sturdy table) – 4 sets of 12–15 reps

Push-ups (Wide Grip) – 4 sets of 15 reps

Dips (using a chair or bench) – 4 sets of 15 reps

Plank to Push-up – 4 sets of 12 reps

Hanging Leg Raises (If available) – 4 sets of 12–15 reps

Bicycle Crunches – 4 sets of 20 reps per side

Sat: Lower Body + Core
Bulgarian Split Squats – 4 sets of 15 reps per leg

Jump Squats – 4 sets of 15 reps

Sumo Squats (Bodyweight or with a jump) – 4 sets of 20 reps

Glute Bridges (Single-leg) – 4 sets of 15 reps per leg

Calf Raises – 4 sets of 20–25 reps

V-ups – 4 sets of 15 reps

Plank – 4 sets of 1 minute

Sun: Rest"
23,"Mon: Full Body Strength + Core
Treadmill Warm-up – 5–10 minutes

Barbell Deadlifts – 4 sets of 5–6 reps

Barbell Bench Press – 4 sets of 6–8 reps

Weighted Pull-ups – 4 sets of 6–8 reps

Dumbbell Lunges – 3 sets of 10 reps per leg

Overhead Dumbbell Press – 3 sets of 8–10 reps

Weighted Ab Rollouts – 4 sets of 10–12 reps

Plank – 3 sets of 60 seconds

Tue: Rest
Wed: Upper Body Focus (Push + Pull)
Barbell Incline Bench Press – 4 sets of 6–8 reps

Lat Pulldown (Wide Grip) – 4 sets of 8–10 reps

Dumbbell Shoulder Press – 4 sets of 8–10 reps

Machine Chest Fly – 3 sets of 12 reps

Barbell Bent-over Rows – 4 sets of 6–8 reps

Triceps Rope Pushdown – 3 sets of 10–12 reps

Dumbbell Bicep Curls – 3 sets of 10–12 reps

Russian Twists (with weight) – 4 sets of 30 reps

Thu: Rest
Fri: Lower Body + Core
Barbell Squats – 4 sets of 6–8 reps

Leg Press Machine – 4 sets of 10 reps

Romanian Deadlifts – 4 sets of 8–10 reps

Seated Leg Curls – 3 sets of 12 reps

Calf Raises (Machine or Standing) – 4 sets of 15–20 reps

Cable Woodchoppers (Obliques) – 3 sets of 12 reps per side

Ab Crunch Machine – 3 sets of 15 reps

Sat: Optional Active Recovery
Light walking, cycling, or swimming – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Sun: Rest"
24,"Mon: Upper Body Push (Chest, Shoulders, Triceps)
Treadmill Warm-up – 5–10 minutes

Barbell Bench Press – 4 sets of 4–6 reps

Dumbbell Shoulder Press – 4 sets of 8 reps

Machine Chest Fly – 3 sets of 10–12 reps

Incline Dumbbell Press – 4 sets of 6–8 reps

Cable Triceps Pushdown – 4 sets of 10–12 reps

Lateral Raises (Dumbbells) – 3 sets of 12–15 reps

Triceps Dips (weighted if possible) – 3 sets of 8–10 reps

Tue: Lower Body Strength (Quads, Hamstrings, Glutes)
Barbell Squats – 4 sets of 5–6 reps

Leg Press Machine – 4 sets of 8–10 reps

Romanian Deadlifts (Dumbbells) – 4 sets of 8–10 reps

Leg Curls (Seated or Lying) – 4 sets of 12 reps

Calf Raises (Machine or Standing) – 4 sets of 15–20 reps

Bulgarian Split Squats (Dumbbells) – 3 sets of 8–10 reps per leg

Cable Ab Crunches – 3 sets of 15 reps

Wed: Upper Body Pull (Back, Biceps)
Deadlifts (Barbell) – 4 sets of 4–6 reps

Pull-ups (Weighted if possible) – 4 sets of 6–8 reps

T-Bar Row – 4 sets of 6–8 reps

Seated Cable Row – 3 sets of 8–10 reps

Dumbbell Bicep Curls – 4 sets of 10–12 reps

Hammer Curls (Dumbbells) – 3 sets of 10 reps

Face Pulls (Cable) – 3 sets of 12–15 reps

Plank – 3 sets of 1 minute

Thu: Active Recovery or Rest
Light walking, swimming, or cycling – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Fri: Upper Body Push + Pull (Chest, Shoulders, Back)
Bench Press (Incline) – 4 sets of 6–8 reps

Overhead Press (Barbell) – 4 sets of 6–8 reps

Chest Dips – 3 sets of 8–10 reps

Lat Pulldown (Wide Grip) – 4 sets of 8 reps

Barbell Rows – 4 sets of 6–8 reps

Cable Lateral Raises – 3 sets of 12 reps

Triceps Rope Pushdown – 3 sets of 10–12 reps

Sat: Lower Body + Core
Front Squats (Barbell) – 4 sets of 5–6 reps

Leg Press Machine – 4 sets of 8–10 reps

Stiff-legged Deadlifts (Dumbbells) – 4 sets of 8–10 reps

Walking Lunges (Dumbbells) – 4 sets of 10 reps per leg

Calf Raises (Seated or Standing) – 4 sets of 15–20 reps

Russian Twists (Weighted) – 4 sets of 30 reps

Hanging Leg Raises – 3 sets of 15 reps

Sun: Rest"
25,"Mon: Full Body Circuit
Jumping Jacks – 3 sets of 30 seconds

Bodyweight Squats – 3 sets of 12 reps

Push-ups (Modified if needed) – 3 sets of 8–10 reps

Glute Bridges – 3 sets of 12 reps

Plank (Knee Plank if needed) – 3 sets of 20–30 seconds

Superman Hold – 3 sets of 20 seconds

Walking (or Light Jog) – 10–15 minutes

Tue: Rest
Wed: Upper Body & Core
Push-ups (Modified if needed) – 3 sets of 8–10 reps

Triceps Dips (using a chair) – 3 sets of 8–10 reps

Wall Push-ups – 3 sets of 10 reps

Side Plank (Knee Down if needed) – 3 sets of 15–20 seconds per side

Leg Raises – 3 sets of 10–12 reps

Bicycle Crunches – 3 sets of 20 reps (10 per side)

Thu: Rest
Fri: Lower Body & Core
Bodyweight Squats – 3 sets of 12 reps

Step-ups (using a step or platform) – 3 sets of 10 reps per leg

Glute Bridges – 3 sets of 12 reps

Lying Leg Raises – 3 sets of 10–12 reps

Mountain Climbers – 3 sets of 20 reps

Side Leg Raises – 3 sets of 12 reps per side

Sat: Rest or Active Recovery
Light walking or cycling – 15–20 minutes

Full-body stretching – 10 minutes

Foam Rolling – 5 minutes (if available)

Sun: Rest"
26,"Mon: Full Body Circuit
Jumping Jacks – 3 sets of 30 seconds

Bodyweight Squats – 3 sets of 15 reps

Push-ups (Modified if needed) – 3 sets of 10 reps

Glute Bridges – 3 sets of 15 reps

Plank (Knee Plank if needed) – 3 sets of 20–30 seconds

Superman Hold – 3 sets of 20 seconds

Walking (or Light Jog) – 15–20 minutes

Tue: Upper Body + Core
Push-ups (Modified if needed) – 3 sets of 10 reps

Triceps Dips (using a chair) – 3 sets of 10 reps

Wall Push-ups – 3 sets of 12 reps

Side Plank (Knee Down if needed) – 3 sets of 20 seconds per side

Leg Raises – 3 sets of 12 reps

Bicycle Crunches – 3 sets of 20 reps (10 per side)

Flutter Kicks – 3 sets of 20 seconds

Wed: Lower Body + Core
Bodyweight Squats – 4 sets of 15 reps

Step-ups (using a step or platform) – 4 sets of 12 reps per leg

Glute Bridges – 4 sets of 15 reps

Lying Leg Raises – 4 sets of 12 reps

Mountain Climbers – 3 sets of 30 reps

Side Leg Raises – 3 sets of 15 reps per side

Plank – 3 sets of 30 seconds

Thu: Active Recovery or Rest
Light walking, cycling, or swimming – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Fri: Full Body Strength + Core
Jumping Jacks – 3 sets of 30 seconds

Bodyweight Squats – 3 sets of 15 reps

Push-ups (Modified if needed) – 3 sets of 10 reps

Glute Bridges – 3 sets of 15 reps

Plank (Knee Plank if needed) – 3 sets of 30 seconds

Superman Hold – 3 sets of 20 seconds

Walking (or Light Jog) – 15–20 minutes

Sat: Upper Body + Core
Push-ups (Modified if needed) – 4 sets of 10 reps

Triceps Dips (using a chair) – 4 sets of 10 reps

Wall Push-ups – 4 sets of 12 reps

Side Plank (Knee Down if needed) – 4 sets of 20–30 seconds per side

Leg Raises – 4 sets of 12 reps

Bicycle Crunches – 4 sets of 20 reps (10 per side)

Sun: Rest"
27,"Mon: Full Body Strength
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 3 sets of 12 reps

Chest Press Machine – 3 sets of 10 reps

Lat Pulldown Machine – 3 sets of 10 reps

Seated Row Machine – 3 sets of 10 reps

Dumbbell Shoulder Press – 3 sets of 10 reps

Leg Curl Machine – 3 sets of 12 reps

Plank – 3 sets of 30 seconds

Tue: Rest
Wed: Upper Body Focus
Treadmill Warm-up – 5–10 minutes

Pec Deck Machine (Chest Fly) – 3 sets of 12 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Dumbbell Triceps Extensions – 3 sets of 12 reps

Machine Shoulder Press – 3 sets of 10 reps

Machine Lat Pulldown – 3 sets of 10 reps

Cable Woodchoppers (Core) – 3 sets of 12 reps per side

Thu: Rest
Fri: Lower Body Focus
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 3 sets of 12 reps

Leg Extension Machine – 3 sets of 12 reps

Lying Leg Curl Machine – 3 sets of 12 reps

Seated Calf Raise Machine – 3 sets of 15 reps

Glute Bridge Machine – 3 sets of 12 reps

Crunch Machine – 3 sets of 15 reps

Sat: Optional Active Recovery
Light walking or cycling – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5 minutes

Sun: Rest"
28,"Mon: Full Body Strength
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Chest Press Machine – 4 sets of 10 reps

Lat Pulldown Machine – 4 sets of 10 reps

Seated Row Machine – 4 sets of 10 reps

Dumbbell Shoulder Press – 3 sets of 10 reps

Leg Curl Machine – 3 sets of 12 reps

Plank – 3 sets of 30 seconds

Tue: Upper Body Focus
Treadmill Warm-up – 5–10 minutes

Pec Deck Machine (Chest Fly) – 4 sets of 12 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Dumbbell Triceps Extensions – 3 sets of 12 reps

Machine Shoulder Press – 4 sets of 10 reps

Machine Lat Pulldown – 4 sets of 10 reps

Cable Woodchoppers (Core) – 3 sets of 12 reps per side

Wed: Lower Body Focus
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Leg Extension Machine – 4 sets of 12 reps

Lying Leg Curl Machine – 4 sets of 12 reps

Seated Calf Raise Machine – 4 sets of 15 reps

Glute Bridge Machine – 3 sets of 12 reps

Crunch Machine – 3 sets of 15 reps

Thu: Active Recovery or Rest
Light walking, cycling, or swimming – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Fri: Full Body Strength + Core
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Chest Press Machine – 4 sets of 10 reps

Lat Pulldown Machine – 4 sets of 10 reps

Seated Row Machine – 3 sets of 10 reps

Dumbbell Shoulder Press – 3 sets of 10 reps

Cable Woodchoppers (Core) – 3 sets of 12 reps per side

Plank – 3 sets of 30 seconds

Sat: Upper Body Focus
Treadmill Warm-up – 5–10 minutes

Pec Deck Machine (Chest Fly) – 3 sets of 12 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Dumbbell Triceps Extensions – 3 sets of 12 reps

Machine Shoulder Press – 3 sets of 10 reps

Machine Lat Pulldown – 3 sets of 10 reps

Cable Triceps Pushdowns – 3 sets of 12 reps

Sun: Rest"
29,"Mon: Full Body Circuit
Jumping Jacks – 3 sets of 45 seconds

Bodyweight Squats – 4 sets of 15 reps

Push-ups – 4 sets of 12 reps

Glute Bridges – 4 sets of 15 reps

Plank – 4 sets of 30–45 seconds

Superman Hold – 3 sets of 30 seconds

Walking (or Light Jog) – 15–20 minutes

Tue: Rest
Wed: Upper Body + Core
Push-ups – 4 sets of 15 reps

Triceps Dips (using a chair) – 4 sets of 12 reps

Diamond Push-ups – 3 sets of 10 reps

Side Plank (Knee Down if needed) – 3 sets of 30 seconds per side

Leg Raises – 4 sets of 15 reps

Bicycle Crunches – 3 sets of 25 reps (12–13 per side)

Thu: Rest
Fri: Lower Body + Core
Bodyweight Squats – 4 sets of 20 reps

Bulgarian Split Squats (using a chair) – 3 sets of 12 reps per leg

Glute Bridges – 4 sets of 20 reps

Lying Leg Raises – 4 sets of 15 reps

Mountain Climbers – 3 sets of 40 reps

Side Leg Raises – 3 sets of 15 reps per side

Plank – 4 sets of 30–45 seconds

Sat: Active Recovery or Rest
Light walking or cycling – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5 minutes

Sun: Rest"
30,"Mon: Full Body Circuit
Jumping Jacks – 4 sets of 45 seconds

Bodyweight Squats – 4 sets of 20 reps

Push-ups – 4 sets of 15 reps

Glute Bridges – 4 sets of 20 reps

Plank – 4 sets of 30–45 seconds

Superman Hold – 3 sets of 30 seconds

Walking (or Light Jog) – 20 minutes

Tue: Upper Body + Core
Push-ups – 4 sets of 20 reps

Triceps Dips (using a chair) – 4 sets of 15 reps

Diamond Push-ups – 4 sets of 12 reps

Side Plank – 4 sets of 30 seconds per side

Leg Raises – 4 sets of 20 reps

Bicycle Crunches – 4 sets of 30 reps (15 per side)

Wed: Lower Body + Core
Bodyweight Squats – 4 sets of 25 reps

Bulgarian Split Squats (using a chair) – 4 sets of 12 reps per leg

Glute Bridges – 4 sets of 25 reps

Lying Leg Raises – 4 sets of 20 reps

Mountain Climbers – 4 sets of 40 reps

Side Leg Raises – 4 sets of 15 reps per side

Plank – 4 sets of 30–45 seconds

Thu: Active Recovery or Rest
Light walking or cycling – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Fri: Full Body Strength + Core
Jumping Jacks – 4 sets of 45 seconds

Bodyweight Squats – 4 sets of 20 reps

Push-ups – 4 sets of 15 reps

Glute Bridges – 4 sets of 20 reps

Plank – 4 sets of 30–45 seconds

Superman Hold – 3 sets of 30 seconds

Walking (or Light Jog) – 20 minutes

Sat: Upper Body + Core
Push-ups – 4 sets of 20 reps

Triceps Dips (using a chair) – 4 sets of 15 reps

Diamond Push-ups – 3 sets of 12 reps

Side Plank – 4 sets of 30 seconds per side

Leg Raises – 4 sets of 20 reps

Bicycle Crunches – 4 sets of 30 reps (15 per side)

Sun: Rest"
31,"Mon: Full Body Strength
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Chest Press Machine – 4 sets of 10 reps

Lat Pulldown Machine – 4 sets of 10 reps

Seated Row Machine – 4 sets of 10 reps

Dumbbell Shoulder Press – 3 sets of 10 reps

Leg Curl Machine – 3 sets of 12 reps

Plank – 3 sets of 30–45 seconds

Tue: Rest
Wed: Upper Body Focus
Treadmill Warm-up – 5–10 minutes

Pec Deck Machine (Chest Fly) – 4 sets of 12 reps

Dumbbell Bicep Curls – 4 sets of 12 reps

Dumbbell Triceps Extensions – 4 sets of 12 reps

Machine Shoulder Press – 4 sets of 10 reps

Machine Lat Pulldown – 4 sets of 10 reps

Cable Woodchoppers (Core) – 3 sets of 12 reps per side

Thu: Rest
Fri: Lower Body Focus
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Leg Extension Machine – 4 sets of 12 reps

Lying Leg Curl Machine – 4 sets of 12 reps

Seated Calf Raise Machine – 4 sets of 15 reps

Glute Bridge Machine – 3 sets of 12 reps

Crunch Machine – 3 sets of 15 reps

Sat: Optional Active Recovery or Rest
Light walking, cycling, or swimming – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5 minutes

Sun: Rest"
32,"Mon: Full Body Strength
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Chest Press Machine – 4 sets of 10 reps

Lat Pulldown Machine – 4 sets of 10 reps

Seated Row Machine – 4 sets of 10 reps

Dumbbell Shoulder Press – 4 sets of 10 reps

Leg Curl Machine – 3 sets of 12 reps

Plank – 3 sets of 30–45 seconds

Tue: Upper Body Focus
Treadmill Warm-up – 5–10 minutes

Pec Deck Machine (Chest Fly) – 4 sets of 12 reps

Dumbbell Bicep Curls – 4 sets of 12 reps

Dumbbell Triceps Extensions – 4 sets of 12 reps

Machine Shoulder Press – 4 sets of 10 reps

Machine Lat Pulldown – 4 sets of 10 reps

Cable Woodchoppers (Core) – 3 sets of 12 reps per side

Wed: Lower Body Focus
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Leg Extension Machine – 4 sets of 12 reps

Lying Leg Curl Machine – 4 sets of 12 reps

Seated Calf Raise Machine – 4 sets of 15 reps

Glute Bridge Machine – 3 sets of 12 reps

Crunch Machine – 3 sets of 15 reps

Thu: Active Recovery or Rest
Light walking, cycling, or swimming – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Fri: Full Body Strength + Core
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Chest Press Machine – 4 sets of 10 reps

Lat Pulldown Machine – 4 sets of 10 reps

Seated Row Machine – 4 sets of 10 reps

Dumbbell Shoulder Press – 4 sets of 10 reps

Cable Woodchoppers (Core) – 3 sets of 12 reps per side

Plank – 3 sets of 30–45 seconds

Sat: Upper Body Focus
Treadmill Warm-up – 5–10 minutes

Pec Deck Machine (Chest Fly) – 4 sets of 12 reps

Dumbbell Bicep Curls – 4 sets of 12 reps

Dumbbell Triceps Extensions – 4 sets of 12 reps

Machine Shoulder Press – 4 sets of 10 reps

Machine Lat Pulldown – 4 sets of 10 reps

Cable Triceps Pushdowns – 4 sets of 12 reps

Sun: Rest"
33,"Mon: Full Body Strength & Conditioning
Jumping Jacks – 4 sets of 1 minute

Pistol Squats (Single-Leg Squats) – 4 sets of 6–8 reps per leg

Push-ups – 4 sets of 20–25 reps

Bulgarian Split Squats (using a chair) – 4 sets of 12 reps per leg

Plank to Push-up – 3 sets of 12 reps

V-Ups – 4 sets of 15 reps

Burpees – 4 sets of 10 reps

Mountain Climbers – 3 sets of 30 seconds

Tue: Rest
Wed: Upper Body & Core Focus
Diamond Push-ups – 4 sets of 15 reps

Wide Grip Push-ups – 4 sets of 20 reps

Triceps Dips (using a chair) – 4 sets of 15 reps

Handstand Hold (against a wall) – 4 sets of 30 seconds

Lying Leg Raises – 4 sets of 20 reps

Bicycle Crunches – 4 sets of 30 reps (15 per side)

Russian Twists – 4 sets of 30 reps (15 per side)

Thu: Rest
Fri: Lower Body Focus & Core
Pistol Squats (Single-Leg Squats) – 4 sets of 6–8 reps per leg

Jump Squats – 4 sets of 15 reps

Glute Bridges – 4 sets of 20 reps

Walking Lunges – 4 sets of 15 reps per leg

Plank – 4 sets of 45–60 seconds

Leg Raises – 4 sets of 20 reps

Mountain Climbers – 3 sets of 30 seconds

Sat: Active Recovery or Rest
Light walking, cycling, or swimming – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Sun: Rest"
34,"Mon: Full Body Strength & Conditioning
Jumping Jacks – 4 sets of 1 minute

Pistol Squats (Single-Leg Squats) – 4 sets of 6–8 reps per leg

Push-ups – 4 sets of 25 reps

Bulgarian Split Squats (using a chair) – 4 sets of 12 reps per leg

Plank to Push-up – 4 sets of 12 reps

V-Ups – 4 sets of 20 reps

Burpees – 4 sets of 12 reps

Mountain Climbers – 3 sets of 45 seconds

Tue: Upper Body & Core Focus
Diamond Push-ups – 4 sets of 20 reps

Wide Grip Push-ups – 4 sets of 25 reps

Triceps Dips (using a chair) – 4 sets of 20 reps

Handstand Hold (against a wall) – 4 sets of 45 seconds

Lying Leg Raises – 4 sets of 20 reps

Bicycle Crunches – 4 sets of 40 reps (20 per side)

Russian Twists – 4 sets of 40 reps (20 per side)

Wed: Lower Body & Core Focus
Pistol Squats (Single-Leg Squats) – 4 sets of 8–10 reps per leg

Jump Squats – 4 sets of 20 reps

Glute Bridges – 4 sets of 25 reps

Walking Lunges – 4 sets of 20 reps per leg

Plank – 4 sets of 60 seconds

Leg Raises – 4 sets of 25 reps

Mountain Climbers – 3 sets of 45 seconds

Thu: Active Recovery or Rest
Light walking, cycling, or swimming – 30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Fri: Full Body Strength & Conditioning
Jumping Jacks – 4 sets of 1 minute

Pistol Squats (Single-Leg Squats) – 4 sets of 6–8 reps per leg

Push-ups – 4 sets of 25 reps

Bulgarian Split Squats (using a chair) – 4 sets of 12 reps per leg

Plank to Push-up – 4 sets of 12 reps

V-Ups – 4 sets of 20 reps

Burpees – 4 sets of 12 reps

Mountain Climbers – 3 sets of 45 seconds

Sat: Upper Body & Core Focus
Diamond Push-ups – 4 sets of 20 reps

Wide Grip Push-ups – 4 sets of 25 reps

Triceps Dips (using a chair) – 4 sets of 20 reps

Handstand Hold (against a wall) – 4 sets of 45 seconds

Lying Leg Raises – 4 sets of 20 reps

Bicycle Crunches – 4 sets of 40 reps (20 per side)

Russian Twists – 4 sets of 40 reps (20 per side)

Sun: Rest"
35,"Mon: Full Body Strength & Conditioning
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Barbell Bench Press – 4 sets of 8–10 reps

Lat Pulldown Machine – 4 sets of 10 reps

Seated Row Machine – 4 sets of 10 reps

Dumbbell Shoulder Press – 4 sets of 8–10 reps

Leg Curl Machine – 4 sets of 12 reps

Plank – 4 sets of 45–60 seconds

Tue: Rest
Wed: Upper Body Focus
Treadmill Warm-up – 5–10 minutes

Chest Press Machine – 4 sets of 12 reps

Dumbbell Bicep Curls – 4 sets of 12 reps

Dumbbell Triceps Extensions – 4 sets of 12 reps

Machine Shoulder Press – 4 sets of 10 reps

Cable Machine Rows – 4 sets of 10 reps

Cable Woodchoppers (Core) – 3 sets of 12 reps per side

Thu: Rest
Fri: Lower Body Focus
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Leg Extension Machine – 4 sets of 12 reps

Lying Leg Curl Machine – 4 sets of 12 reps

Seated Calf Raise Machine – 4 sets of 15 reps

Glute Bridge Machine – 3 sets of 12 reps

Crunch Machine – 3 sets of 20 reps

Sat: Active Recovery or Rest
Light walking, cycling, or swimming – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Sun: Rest"
36,"Mon: Full Body Strength & Conditioning
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Barbell Bench Press – 4 sets of 8–10 reps

Lat Pulldown Machine – 4 sets of 10 reps

Seated Row Machine – 4 sets of 10 reps

Dumbbell Shoulder Press – 4 sets of 8–10 reps

Leg Curl Machine – 4 sets of 12 reps

Plank – 4 sets of 45–60 seconds

Tue: Upper Body Focus
Treadmill Warm-up – 5–10 minutes

Chest Press Machine – 4 sets of 12 reps

Dumbbell Bicep Curls – 4 sets of 12 reps

Dumbbell Triceps Extensions – 4 sets of 12 reps

Machine Shoulder Press – 4 sets of 10 reps

Cable Machine Rows – 4 sets of 10 reps

Cable Woodchoppers (Core) – 3 sets of 12 reps per side

Wed: Lower Body Focus
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Leg Extension Machine – 4 sets of 12 reps

Lying Leg Curl Machine – 4 sets of 12 reps

Seated Calf Raise Machine – 4 sets of 15 reps

Glute Bridge Machine – 3 sets of 12 reps

Crunch Machine – 3 sets of 20 reps

Thu: Active Recovery or Rest
Light walking, cycling, or swimming – 30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Fri: Full Body Strength & Conditioning
Treadmill Warm-up – 5–10 minutes

Leg Press Machine – 4 sets of 12 reps

Barbell Bench Press – 4 sets of 8–10 reps

Lat Pulldown Machine – 4 sets of 10 reps

Seated Row Machine – 4 sets of 10 reps

Dumbbell Shoulder Press – 4 sets of 8–10 reps

Leg Curl Machine – 4 sets of 12 reps

Plank – 4 sets of 45–60 seconds

Sat: Upper Body Focus
Treadmill Warm-up – 5–10 minutes

Chest Press Machine – 4 sets of 12 reps

Dumbbell Bicep Curls – 4 sets of 12 reps

Dumbbell Triceps Extensions – 4 sets of 12 reps

Machine Shoulder Press – 4 sets of 10 reps

Cable Machine Rows – 4 sets of 10 reps

Cable Woodchoppers (Core) – 3 sets of 12 reps per side

Sun: Rest"
